shot_id,window_id,label_type,t_start,t_end,label_confidence,primary_evidence,secondary_evidence,excluded_from_validation,exclusion_reason,notes
11768,11768_CANDIDATE_001,UNLABELABLE,-0.0022000050544739003,0.0197999949455261,unlabelable,D_ALPHA_SHARP_CHANGE from dalpha_proxy,D-alpha proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_002,UNLABELABLE,-0.0022000050544739003,0.0097999949455261,unlabelable,DENSITY_CONTEXT_CHANGE from density_proxy,density proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_003,UNLABELABLE,0.032799994945526205,0.0447999949455262,unlabelable,SOFTX_SHARP_CHANGE from softx_combined_proxy,soft-X combined proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_004,UNLABELABLE,0.0457999949455262,0.0577999949455262,unlabelable,DENSITY_CONTEXT_CHANGE from density_proxy,density proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_005,UNLABELABLE,0.0587999949455262,0.0707999949455262,unlabelable,DENSITY_CONTEXT_CHANGE from density_proxy,density proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_006,UNLABELABLE,0.1587999949455263,0.1707999949455263,unlabelable,SOFTX_SHARP_CHANGE from softx_combined_proxy,soft-X combined proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_007,UNLABELABLE,0.2477999949455264,0.2597999949455264,unlabelable,SOFTX_SHARP_CHANGE from softx_combined_proxy,soft-X combined proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_008,UNLABELABLE,0.2677999949455264,0.27979999494552643,unlabelable,D_ALPHA_SHARP_CHANGE from dalpha_proxy,D-alpha proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_009,UNLABELABLE,0.2677999949455264,0.27979999494552643,unlabelable,DENSITY_CONTEXT_CHANGE from density_proxy,density proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11768,11768_CANDIDATE_010,UNLABELABLE,0.2687999949455264,0.28079999494552643,unlabelable,SOFTX_SHARP_CHANGE from softx_combined_proxy,soft-X combined proxy sharp change,True,"missing critical independent diagnostics: NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
11776,11776_CANDIDATE_001,UNLABELABLE,-0.0012000050544738999,0.0107999949455261,unlabelable,DENSITY_CONTEXT_CHANGE from density_proxy,density proxy sharp change,True,"missing critical independent diagnostics: D-alpha, NBI power, Thomson Te/ne profile gradients","Control/stress-test shot. Retained for audit, but excluded from physical-window validation because key diagnostics needed for independent L/H labeling are absent."
